"component_id";"component_type";"component_name";"page_id";"role_id";"is_active"
34744427648440317;"REGION";"Tasks [CONTENT]";100;"ADMIN";"Y"
34744427648440317;"REGION";"Tasks [CONTENT]";100;"DEFAULT_USER";"Y"
34744427648440317;"REGION";"Tasks [CONTENT]";100;"";""
34798486722743635;"BUTTON";"ADD_TASK";100;"ADMIN";"Y"
34798486722743635;"BUTTON";"ADD_TASK";100;"DEFAULT_USER";"Y"
34798486722743635;"BUTTON";"ADD_TASK";100;"";""
34798797839743638;"BUTTON";"CREATE_TASK";105;"ADMIN";"Y"
34798797839743638;"BUTTON";"CREATE_TASK";105;"DEFAULT_USER";"Y"
34798797839743638;"BUTTON";"CREATE_TASK";105;"";""
34905220916116348;"ITEM";"P100_CLIENT_ID";100;"ADMIN";"Y"
34905220916116348;"ITEM";"P100_CLIENT_ID";100;"DEFAULT_USER";"Y"
34905220916116348;"ITEM";"P100_CLIENT_ID";100;"";""
34905691081116349;"ITEM";"P100_PROJECT_ID";100;"ADMIN";"Y"
34905691081116349;"ITEM";"P100_PROJECT_ID";100;"DEFAULT_USER";"Y"
34905691081116349;"ITEM";"P100_PROJECT_ID";100;"";""
34906072735116349;"ITEM";"P100_BOARD_ID";100;"ADMIN";"Y"
34906072735116349;"ITEM";"P100_BOARD_ID";100;"DEFAULT_USER";"Y"
34906072735116349;"ITEM";"P100_BOARD_ID";100;"";""
34949339576065803;"BUTTON";"UPDATE_ONLY";105;"ADMIN";"Y"
34949339576065803;"BUTTON";"UPDATE_ONLY";105;"DEFAULT_USER";"Y"
34949339576065803;"BUTTON";"UPDATE_ONLY";105;"";""
34949592599065805;"BUTTON";"DELETE_TASK";105;"ADMIN";"Y"
34949592599065805;"BUTTON";"DELETE_TASK";105;"DEFAULT_USER";"Y"
34949592599065805;"BUTTON";"DELETE_TASK";105;"";""
34952422242065834;"BUTTON";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; REFRESH_TASKS<span class=""fa fa-warning"" style=""color: orange; margin: 0.125rem 0.5rem 0;""></span>";100;"ADMIN";"Y"
34952422242065834;"BUTTON";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; REFRESH_TASKS<span class=""fa fa-warning"" style=""color: orange; margin: 0.125rem 0.5rem 0;""></span>";100;"DEFAULT_USER";"Y"
34952422242065834;"BUTTON";"REFRESH_TASKS";100;"";""
34952570819065835;"PROCESS";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <span class=""fa fa-play-circle"" style=""color: #555; margin: 0.125rem 0.5rem 0 0;""></span>SAVE_FORM<span class=""fa fa-warning"" style=""color: orange; margin: 0.125rem 0.5rem 0;""></span>";105;"ADMIN";"Y"
34952570819065835;"PROCESS";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <span class=""fa fa-play-circle"" style=""color: #555; margin: 0.125rem 0.5rem 0 0;""></span>SAVE_FORM<span class=""fa fa-warning"" style=""color: orange; margin: 0.125rem 0.5rem 0;""></span>";105;"DEFAULT_USER";"Y"
34952570819065835;"PROCESS";"SAVE_FORM";105;"";""
35127554191937050;"ITEM";"P100_SWIMLANE_ID";100;"ADMIN";"Y"
35127554191937050;"ITEM";"P100_SWIMLANE_ID";100;"DEFAULT_USER";"Y"
35127554191937050;"ITEM";"P100_SWIMLANE_ID";100;"";""
44090106596578004;"BUTTON";"UPDATE_AND_CLOSE";105;"ADMIN";"Y"
44090106596578004;"BUTTON";"UPDATE_AND_CLOSE";105;"DEFAULT_USER";"Y"
44090106596578004;"BUTTON";"UPDATE_AND_CLOSE";105;"";""
44090486634578007;"BUTTON";"CREATE_AND_CLOSE";105;"ADMIN";"Y"
44090486634578007;"BUTTON";"CREATE_AND_CLOSE";105;"DEFAULT_USER";"Y"
44090486634578007;"BUTTON";"CREATE_AND_CLOSE";105;"";""
44090573922578008;"BUTTON";"CREATE_ANOTHER";105;"ADMIN";"Y"
