"page_id";"role_id";"is_active"
100;"ADMIN";"Y"
100;"DEFAULT_USER";"Y"
105;"ADMIN";"Y"
105;"DEFAULT_USER";"Y"
106;"ADMIN";"Y"
106;"DEFAULT_USER";"Y"
108;"ADMIN";"Y"
108;"DEFAULT_USER";"Y"
110;"ADMIN";"Y"
110;"DEFAULT_USER";"Y"
115;"ADMIN";"Y"
115;"DEFAULT_USER";"Y"
200;"ADMIN";"Y"
200;"BOARDS_MANAGER";"Y"
200;"DEFAULT_USER";"Y"
205;"ADMIN";"Y"
205;"BOARDS_MANAGER";"Y"
220;"ADMIN";"Y"
220;"BOARDS_MANAGER";"Y"
230;"ADMIN";"Y"
230;"BOARDS_MANAGER";"Y"
250;"ADMIN";"Y"
250;"BOARDS_MANAGER";"Y"
270;"ADMIN";"Y"
270;"BOARDS_MANAGER";"Y"
300;"ADMIN";"Y"
300;"PROJECT_MANAGER";"Y"
300;"USERS_MANAGER";"Y"
400;"ADMIN";"Y"
400;"PROJECT_MANAGER";"Y"
400;"USERS_MANAGER";"Y"
500;"ADMIN";"Y"
500;"DEFAULT_USER";"Y"
500;"PROJECT_MANAGER";"Y"
510;"ADMIN";"Y"
510;"PROJECT_MANAGER";"Y"
515;"ADMIN";"Y"
515;"PROJECT_MANAGER";"Y"
900;"ADMIN";"Y"
900;"DEFAULT_USER";"Y"
950;"ADMIN";"Y"
950;"USERS_MANAGER";"Y"
952;"ADMIN";"Y"
952;"USERS_MANAGER";"Y"
955;"ADMIN";"Y"
955;"USERS_MANAGER";"Y"
958;"ADMIN";"Y"
958;"USERS_MANAGER";"Y"
960;"ADMIN";"Y"
960;"USERS_MANAGER";"Y"
962;"ADMIN";"Y"
962;"USERS_MANAGER";"Y"
963;"ADMIN";"Y"
963;"USERS_MANAGER";"Y"
965;"ADMIN";"Y"
966;"ADMIN";"Y"
980;"ADMIN";"Y"
980;"DEFAULT_USER";"Y"
