"object_name";"procedure_name";"table_name";"role_id";"is_active"
"TSK_P100";"ADD_TO_FAVORITES";"";"ADMIN";"Y"
"TSK_P100";"ADD_TO_FAVORITES";"";"DEFAULT_USER";"Y"
"TSK_P100";"AJAX_UPDATE_TASK_ON_DRAG";"";"ADMIN";"Y"
"TSK_P100";"AJAX_UPDATE_TASK_ON_DRAG";"";"DEFAULT_USER";"Y"
"TSK_P100";"GENERATE_BOARD";"";"ADMIN";"Y"
"TSK_P100";"GENERATE_BOARD";"";"DEFAULT_USER";"Y"
"TSK_P100";"REMOVE_FROM_FAVORITES";"";"ADMIN";"Y"
"TSK_P100";"REMOVE_FROM_FAVORITES";"";"DEFAULT_USER";"Y"
"TSK_P105";"AJAX_DELETE_COMMENT";"";"ADMIN";"Y"
"TSK_P105";"AJAX_DELETE_COMMENT";"";"DEFAULT_USER";"Y"
"TSK_P105";"DOWNLOAD_ATTACHEMENT";"";"ADMIN";"Y"
"TSK_P105";"DOWNLOAD_ATTACHEMENT";"";"DEFAULT_USER";"Y"
"TSK_P105";"GET_BADGE_ICON";"";"ADMIN";"Y"
"TSK_P105";"GET_BADGE_ICON";"";"DEFAULT_USER";"Y"
"TSK_P105";"SAVE_ATTACHEMENTS";"TSK_TASK_FILES";"";"Y"
"TSK_P105";"SAVE_ATTACHEMENTS";"";"ADMIN";"Y"
"TSK_P105";"SAVE_ATTACHEMENTS";"";"DEFAULT_USER";"Y"
"TSK_P105";"SAVE_CHECKLIST";"TSK_TASK_CHECKLIST";"";"Y"
"TSK_P105";"SAVE_CHECKLIST";"";"ADMIN";"Y"
"TSK_P105";"SAVE_CHECKLIST";"";"DEFAULT_USER";"Y"
"TSK_P105";"SAVE_COMMENT";"TSK_TASK_COMMENTS";"";"Y"
"TSK_P105";"SAVE_COMMENT";"";"ADMIN";"Y"
"TSK_P105";"SAVE_COMMENT";"";"DEFAULT_USER";"Y"
"TSK_P105";"SAVE_MERGE_CHECKLIST";"TSK_TASK_CHECKLIST";"";"Y"
"TSK_P105";"SAVE_MERGE_CHECKLIST";"";"ADMIN";"Y"
"TSK_P105";"SAVE_MERGE_CHECKLIST";"";"DEFAULT_USER";"Y"
"TSK_P105";"SAVE_SPLIT_CHECKLIST";"TSK_TASK_CHECKLIST";"";"Y"
"TSK_P105";"SAVE_SPLIT_CHECKLIST";"";"ADMIN";"Y"
"TSK_P105";"SAVE_SPLIT_CHECKLIST";"";"DEFAULT_USER";"Y"
"TSK_P105";"SAVE_TASK";"TSK_TASKS";"";"Y"
"TSK_P105";"SAVE_TASK";"";"ADMIN";"Y"
"TSK_P105";"SAVE_TASK";"";"DEFAULT_USER";"Y"
"TSK_P110";"PROCESS_BULK_INIT";"";"ADMIN";"Y"
"TSK_P110";"PROCESS_BULK_INIT";"";"DEFAULT_USER";"Y"
"TSK_P110";"PROCESS_BULK_REQUEST";"";"ADMIN";"Y"
"TSK_P110";"PROCESS_BULK_REQUEST";"";"DEFAULT_USER";"Y"
"TSK_P110";"PROCESS_BULK_TASK_FILTERS";"";"ADMIN";"Y"
"TSK_P110";"PROCESS_BULK_TASK_FILTERS";"";"DEFAULT_USER";"Y"
"TSK_P200";"REORDER_CATEGORIES";"";"ADMIN";"Y"
"TSK_P200";"REORDER_CATEGORIES";"";"BOARDS_MANAGER";"Y"
"TSK_P200";"REORDER_TASK_STATUSES";"";"ADMIN";"Y"
"TSK_P200";"REORDER_TASK_STATUSES";"";"BOARDS_MANAGER";"Y"
"TSK_P200";"REORDER_TASK_SWIMLANES";"";"ADMIN";"Y"
"TSK_P200";"REORDER_TASK_SWIMLANES";"";"BOARDS_MANAGER";"Y"
"TSK_P200";"SAVE_BOARDS";"TSK_BOARDS";"";"Y"
"TSK_P200";"SAVE_BOARDS";"";"ADMIN";"Y"
"TSK_P200";"SAVE_BOARDS";"";"BOARDS_MANAGER";"Y"
"TSK_P200";"SAVE_TASK_CATEGORIES";"TSK_CATEGORIES";"";"Y"
