"client_id";"project_id";"user_id";"role_id";"is_active"
"NBL";"DR";"JANK";"BOARDS_MANAGER";"Y"
"NBL";"DR";"JANK";"DEFAULT_USER";"Y"
"NBL";"DR";"JANK";"PROJECT_MANAGER";"Y"
"NBL";"DR";"Q";"BOARDS_MANAGER";"Y"
"NBL";"DR";"Q";"DEFAULT_USER";"Y"
"NBL";"DR";"Q";"PROJECT_MANAGER";"Y"
"NBL";"DR";"ZORAN";"BOARDS_MANAGER";"Y"
"NBL";"DR";"ZORAN";"DEFAULT_USER";"Y"
"NBL";"DR";"ZORAN";"PROJECT_MANAGER";"Y"
"PDI";"";"JANK";"BOARDS_MANAGER";"Y"
"PDI";"";"JANK";"DEFAULT_USER";"Y"
"PDI";"";"Q";"BOARDS_MANAGER";"Y"
"PDI";"";"Q";"DEFAULT_USER";"Y"
"PDI";"";"SAI";"BOARDS_MANAGER";"Y"
"PDI";"";"SAI";"DEFAULT_USER";"Y"
"Q";"TASX";"JANK";"BOARDS_MANAGER";"Y"
"Q";"";"JANK";"DEFAULT_USER";"Y"
"Q";"";"JANK";"PROJECT_MANAGER";"Y"
"Q";"";"JANK";"USERS_MANAGER";"Y"
