"page_id";"parent_id";"is_hidden";"is_reset";"order#"
0;"";"";"";666
100;"";"";"";100
105;100;"Y";"Y";""
106;100;"Y";"Y";""
108;100;"Y";"Y";""
110;100;"Y";"Y";""
115;100;"Y";"Y";""
200;"";"";"Y";200
205;200;"Y";"Y";""
220;200;"";"Y";20
230;200;"";"Y";30
235;230;"Y";"Y";""
250;200;"";"Y";50
270;200;"";"Y";70
300;"";"";"Y";300
400;"";"";"Y";400
500;"";"";"Y";500
510;500;"";"Y";10
515;500;"";"Y";20
900;"";"";"Y";900
950;"";"";"Y";650
952;950;"";"Y";10
955;950;"";"Y";20
960;"";"";"Y";660
962;960;"";"Y";10
963;960;"";"Y";20
965;960;"";"Y";30
966;960;"";"Y";40
968;960;"";"Y";50
980;"";"";"Y";899
9999;900;"";"";90
